id	name	type	count
1	剑网3COS大赛	3	16
5	全职	1	4
6	小清新	1	405
8	童年	1	590
9	东方PROJECT	2	10715
10	射命丸文	1	105
11	猫耳	1	513
12	女神	1	169
13	水豪	1	1
15	古风	1	3688
16	炮姐	1	328
19	荣耀不败	1	1
20	一枪穿云	1	6
21	全职高手	2	238
22	周泽楷	1	14
23	轮回	1	1
24	约会大作战	2	2681
25	时崎狂三	1	2452
27	萌妹子	1	663
29	伊藤润二	1	18
32	初音未来	1	9922
34	VOCALOID	2	7664
35	MIKU	1	3262
36	恋は戦争	1	2
37	藍貓	1	1
38	黒執事	1	12
39	庚夕子	1	2
42	银魂	2	332
43	坂田银时	1	46
45	女体化	1	2
47	制服	1	3582
49	旗袍	1	5229
50	双马尾	1	5635
51	萝莉	1	14670
52	黑子的篮球	2	90
54	眼镜	1	305
55	清新	1	56
56	BG	1	96
57	御姐	1	9789
58	少女	1	3690
59	华丽	1	14
60	拟人化	1	7
61	V家	1	1028
62	帅哥	1	104
64	金发	1	109
67	游戏	1	7366
68	LOL	1	373
69	少年	1	140
70	巫女	1	866
71	七秀	1	177
72	小说	1	117
73	俄罗斯套娃	1	2
74	GUMI	1	171
75	CP	1	399
76	水手服	1	379
79	黑猫	2	631
80	黑长直	1	338
81	大小姐	1	168
82	战斗	1	200
83	大叔	1	19
84	吃货	1	79
85	剑网3	1	335
86	兄弟	1	5
87	小蛮腰	1	3
88	兽耳	1	1696
89	二次创作	1	12
91	FATE	1	5195
92	SABER	1	3803
93	和风	1	1211
94	日系	1	6849
95	古装	1	74
97	炫酷	1	4
98	女王	1	76
100	博丽灵梦	1	3606
101	小天使	1	56
102	感动	1	1
104	兄妹	1	32
107	高木秋人	1	1
110	弹丸论破	2	3201
111	江之岛盾子	1	174
112	战刃骸	1	19
114	某科学的超电磁炮	2	2585
115	掀裙狂魔	1	1
116	佐天泪子	1	53
117	APH	1	110
118	初恋组	1	1
119	BAD END NIGHT	1	1
122	MEIKO	1	52
123	喻文州	1	8
125	叶修	1	47
126	张新杰	1	2
128	COMIDAY12	1	1
129	白萝卜	1	1
130	薙	1	1
131	神薙	2	3
133	剧情	1	58
134	BE	1	51
135	民国	1	1364
136	和服	1	5153
137	红茶	1	2
