id	name	sex	count
-1	-1	-1	183
22	bcy22	-1	1
25	蕾丝包子	1	23
38	月满杯空	0	2
551	眠眠-z-Z	0	1
639	sanko	0	1
671	阿蔌蔌	0	3
2453	爽咔咔咔咔咔	0	2
2835	坎蒂猴	0	5
2873	犬千代	1	3
2941	洛洛麟	-1	1
3116	ReyRey	-1	2
3118	水狐	0	42
3153	绿川	0	4
3186	綾Aya	1	4
3191	间夏	0	2
3202	人偶悦悦-羊驼驼驼仔	0	2
3204	萝篁AB	0	5
3212	神之少女悠璃璃	0	1
3213	六邪	0	1
3220	大条尾巴	0	1
3222	乔一	0	2
3239	Akira鲤	0	2
3241	影子	-1	1
3242	微笑ST	0	2
3244	友夏	0	2
3273	挛鞮芥子	0	1
3296	轨夙	0	2
3301	巫令	-1	2
3308	焦焦子	0	3
3423	逝寒	-1	1
3435	青皊	0	2
3496	satsuki	-1	1
3511	草影stljwza	0	1
3533	嗳瑜	0	1
3535	是垠学	0	2
3537	Ri伽酱	0	1
3556	呆呆兽4921	0	1
3598	-阿曦曦曦曦曦曦曦-	0	18
3602	YB蘑菇菇	0	7
3605	花念	0	1
3639	沢言	2	2
3646	册子	0	5
3652	霜溪冷_月溪明	0	1
3674	病蛾	0	14
3677	向小葵_	0	1
3688	Minn眠	0	6
3692	染月	0	4
3696	逆风	0	1
3698	Eiv	-1	2
3733	67洛花	1	1
3735	镜轩	0	1
3755	Akane酱	0	3
3768	青青子Js	0	2
3774	鳄子wanikooo	0	3
3784	帝戊	-1	1
3799	唐水	0	3
3805	虫虫_無視子	0	1
3807	x叉魅	0	2
3814	浅井久	0	3
3830	涼紀	0	2
3851	黑猫	0	2
3852	晓羽	0	5
3857	Vv紫	0	3
3865	幽魂_喜欢两个人	0	1
3867	妖妖	0	4
3876	眼袋娘_	0	1
3886	晴空	0	2
3890	穆翎儿	0	4
3906	财迷等于kasumi	0	9
3934	萧云	0	5
3949	京右kyou	0	1
3989	魔法小YQ	0	6
3991	A_poy	0	13
3993	周小妖NAGI	0	5
4042	蘅芜	-1	1
4045	子渊渊	0	2
4077	小酒Vino	0	1
4093	千里看着你的脑洞说	-1	1
4095	笑殇dorothy	0	5
4097	水玉饭团	0	5
4123	觉棠	2	9
4125	九九	1	1
4131	花辛桑	0	7
4137	来碗牛肉拉面	-1	1
4163	夜宵	0	7
4165	凤梨子	0	13
4166	YamadaRP	0	2
4181	子慧	0	2
4185	猫小音neko	0	1
4211	Alix静	0	135
4236	鹿野smart	0	1
4259	花常-	0	3
4260	ALLAN艾兰	1	1
4288	豆豆子ex	0	1
4291	落子一米五	-1	2
4314	晚归	0	3
4339	Joa_浅草子	0	2
4348	如坏	0	2
4351	百里迢_Allez	0	1
4353	干物妹小恋	-1	19
4369	-天一-	-1	1
4372	银沐Ayins	0	2
4385	亚田	0	1
4391	是谁家的阿表来了呀	0	3
4395	汐轩	0	2
4400	Mori莫离子	0	1
4402	Yume	-1	2
4413	鱼子	0	1
4465	泺戈拉斯-叶子	0	5
4469	羔兒	0	6
4482	死水酱	1	1
4483	崩坏轮	0	1
4486	Simon_諶卜鳴	-1	1
4494	妇女大哥丶	0	1
4506	腹黑优姬酱	0	1
4510	萌草	0	2
4528	我是汐晨啦	0	1
4537	漠世S	0	8
4542	雪舟	0	1
4544	YANO	0	2
4550	米琪琪	0	3
4553	暗黑料理便当	1	1
4580	haru	0	1
4584	吾辈彩虹	0	1
4588	尹萧临	0	2
4598	馒馒	0	12
4607	红莲君	2	14
4608	三土	0	2
4610	佑沩ryunta	0	2
4619	猫爷	0	1
4620	Sophia925	0	2
4634	小高	0	1
4661	櫻閻Yama	0	1
4667	千叶茈雪	0	4
4668	小欣_华乾第一机智炮	0	2
4672	沐小葵	0	9
4677	妖柒kiyouri	0	2
4692	阎爱	0	3
4693	北北Miya	0	3
4700	辛然	0	1
4705	small-c	0	4
4717	Sa5x	0	1
4722	墨夜白Miyoka	0	1
4726	夏老板	0	4
4730	柠檬君	0	1
4734	浮丘	2	1
4752	找M的小天子	0	1
4786	烨言言言言言	0	3
4795	子歌ZIGI	0	1
4800	美奈	0	2
4812	恶鬼棠	1	1
4814	短腿少年Sy	0	2
4830	樨兔子	0	5
4832	叁月	0	2
4835	Ting_啾	1	2
4847	橙瑟	1	1
4861	花惗颜	0	2
4865	歌明	0	2
4881	颖子	0	1
4882	天戒TENKKAI	0	2
4893	落樱逝	0	43
4894	wiki	0	2
4895	阿落	0	2
4896	白水烧酒	0	2
4899	影子KageSS	0	2
4904	子夏夏夏	0	18
4915	贺兰九州	0	2
4920	音隐_Myu	0	1
4938	舞璃	0	3
4948	僵硬的壳子酱	0	6
4951	水月无芊	0	2
4956	电波_Chris	0	1
4958	Estrella冬蝉_	0	7
4962	安妮Annie	0	1
4966	银河美少女超超	0	1
4969	谶纬-妍	0	9
4974	白大根	0	34
4975	爱琴海的天空	0	3
4979	魔法基佬小孽孽	0	4
4980	未月初	0	15
4982	Misu酱	0	4
4984	青洸歌子	0	3
4990	Renka__	0	2
4991	蓉蓉_	0	5
5000	辉苍	1	1
5003	-离离子-	0	6
5006	REA_	-1	6
5009	坂木silver	0	5
5014	hao酱	0	10
5021	披着梨皮的少年	0	1
5022	萌萌木茶君_	0	1
5028	0傀0	0	1
5035	瑾淅	0	7
5039	流星喃	0	5
5049	零夜_rilc	0	1
5051	阿瑄	0	1
5053	茶茶	0	1
5073	妍浠	0	2
5089	薛小倩	-1	1
5090	未希VV	-1	2
5094	恣爷	1	2
5095	木头盒子	0	6
5100	天麟寒月	0	3
5106	晓凉	0	2
5128	桃绛	-1	1
5136	一古	0	16
5138	忆雪	0	1
5156	四瞳	0	1
5163	阿笙Mriko	0	1
5171	bcy5171	0	1
5181	北渊怪蜀黍	0	1
5187	处处处座	-1	1
5201	Coser_黑音	1	1
5206	卉酱	0	2
5209	佐流	0	5
5212	子透	0	1
5215	摄氏鱼	0	3
5217	狼爷	0	17
5219	北言安琪	0	3
5231	EVA单反君	1	1
5234	尘枭	0	7
5236	青空上有浮云	0	1
5242	一君_YiJUN	0	3
5251	丞之	1	1
5268	Sanday	0	1
5275	姜小糖	0	3
5276	万代麦子	0	2
5277	子栩	0	6
5279	Demon云酆菲	0	3
5280	MukyO	0	1
5281	酱烧茄子真好吃	0	1
5283	沁青	0	1
5295	北夜夜_吃土少女	0	1
5297	筱爱kirsche	0	17
5306	Yuuto	0	2
5307	边境牧羊猫	0	47
5308	宫丶	0	4
5312	冰漠	0	5
5314	yukimura叶	0	1
5315	L-子-	0	4
5319	比小枯	0	2
5321	糖酱	0	29
5328	CaTie	0	1
5329	冰淇零	0	1
5331	陌尘HOKORI	0	8
5332	颜了个颜	0	5
5333	奶盐口-	0	3
5335	姨妈姬	0	2
5359	Akaya炽夜	0	5
5360	零渺Reinya	0	2
5363	幽灵堡主	0	1
5364	毛吉	1	3
5367	江尚寒	0	20
5368	Vikki	0	2
5373	忘小忧_ya	0	3
5377	幾洛	0	1
5408	西柚夹心	0	7
5411	雪砸得日常号	0	2
5434	芽包	0	1
5436	羽里	0	1
5441	薛雪瞳	-1	1
5442	司宇-凌-	-1	1
5455	时小莫	0	2
5462	星野梓	0	3
5479	橘子子	0	2
5483	淮遥OvO	0	1
5489	Tsuki废柴月	0	2
5495	河童童	0	1
5501	小吹吹	0	1
5510	小胖z	1	1
5515	幻灯火	0	1
5529	缡火	0	5
5531	Twelve	1	1
5532	Asano-kun	0	2
5543	墨弦子	0	4
5550	风起白曦君	0	18
5567	KANO桑	0	1
5568	北那个鸢	0	1
5570	老爷	0	2
5575	Mitsunoaki	0	1
5576	小杜要成为小救星	0	2
5605	darkxuxu	0	1
5614	妖少	1	30
5621	狮儿佳	0	2
5624	Livy离律	0	1
5643	喵子nyako	0	4
5654	汐止听雪	0	1
5678	昕Cinty琴弦	0	1
5685	活在梦里的沈常安	0	16
5689	雨点点	0	1
5695	Fuki	0	5
5698	猫宫	0	2
5703	依燃	0	2
5704	佑二	0	1
5727	橙子冰	0	1
5729	ECHO丶阿空空	0	9
5732	小莫w	-1	1
5740	夜玲	0	91
5741	夏洛克-小唯	-1	1
5753	ASURA	0	2
5761	九凤院澜正	-1	1
5769	Hey_瑾颜	0	2
5780	世界第一帅的衣衣衣_	0	1
5788	无视	0	39
5789	NanaYu七侑	0	2
5802	hana小花花花	-1	1
5821	A野野	0	3
5851	雪歌	0	1
5864	-小鱼-	1	1
5879	Ashes-冥无色	0	2
5887	耳朵黄	0	3
5893	黛蒙w	0	1
5896	筱雨	0	1
5910	叶片	0	4
5930	七海nanami	0	1
5931	环少	0	1
5937	KITALIYU	0	9
5948	真的是折光同学啊	0	1
5951	扣子_梨棠绮扇	0	2
5954	淘君	0	3
5990	蛇村铃田	0	36
6007	糖分不足的阿银	1	1
6017	KILLUA颜叶	0	2
6030	米羔	0	5
6058	南條司	0	3
6061	LiGht_重力戰線	-1	1
6068	不能吃的咖喱的咖喱	0	1
6070	超高校级的羽妹	0	2
6082	京極萌子	0	11
6094	嫣梦	0	5
6113	陈妖夜姬	0	2
6116	猫猫	0	2
6135	苏菲	0	2
6143	晨曦SHINGI	1	1
6148	绘Rie	0	3
6151	MIA梦	0	3
6153	浅野千瞳	0	1
6158	喵呜咦呕	0	2
6164	腐乳才不是豆腐	0	1
6169	好想变成草莓牛奶	0	1
6171	叶小疯King	1	4
6172	十二4921	-1	1
6173	末唐	0	1
