id	name	count
1	Coser	39366
2	绘师	46541
3	写手	7053
4	CV	1170
5	P主	229
6	剪刀手	361
7	摄影君	3327
8	后期君	3551
9	道具师	659
10	妆娘	3309
11	考据党	148
12	搬运工	219
13	LO娘	7058
14	汉服同袍	3661
15	制服少女	4910
16	娃妈	1292
17	模玩宅	798
18	橡皮章宅	531
19	游戏宅	8729
20	番剧宅	7914
21	偶像宅	886
22	颜控	3484
23	声控	2979
24	手控	814
26	猫控	7288
28	伪娘	170
30	御姐	997
32	大叔	946
33	老司机	369
34	萌新	5826
35	大龄宅	1039
36	学生党	15972
37	社畜	3461
45	唱见	685
46	舞见	1806
47	MMDer	90
48	MADer	108
49	漫评UP主	91
50	游戏UP主	708
51	PV师	61
52	音乐UP主	218
53	手书UP主	408
54	哲学家	1121
55	深宅	3524
57	小哥哥	765
58	萌妹	1404
59	手工宅	1978
60	手帐控	431
61	手写er	382
62	扩列	186
63	CPDD	18
64	穿搭狂魔	9
65	摄影	23
66	游戏	176
67	唱歌	12
68	民谣	1
69	旅行家	2
70	潮玩族	1
71	音乐剧	6
73	三坑	52
74	刷剧	4
75	阅读	11
76	KPOP	14
77	剧本杀	4
78	嘻哈	4
79	密室逃脱	1
80	小众文艺	13
81	追星	2
82	爱甜食	22
83	学术宅	6
84	永远在减肥	29
85	精神稳定	157
86	中二病晚期	132
87	失眠人	49
88	完美主义	15
89	嗜糖主义	35
90	社牛	20
91	社恐	212
92	高冷孤僻	8
93	脑洞大	11
94	拖延症	73
95	梗王	6
96	独行者	11
97	已读必回	33
98	选择困难	26
99	宝藏青年	3
100	铲屎官	9
101	爱唠嗑	19
